id;full_name;date_of_birth;address_details;contact_details
1;mobile Fish;2019-11-15;Savings Account Dam;Practical Fresh Pants
2;Metal deposit;2019-11-15;transmitter Implementation Electronics;Soap methodology Albania
3;Home Namibia;2019-11-15;Gorgeous Frozen Pants;Common
4;Savings Account syndicate Planner;2019-11-15;HDD;Table Small Frozen Sausages Planner
5;envisioneer Music Public-key;2019-11-15;Bahamian Dollar Investment Account;Games Regional Digitized
6;copy convergence;2019-11-15;Georgia Industrial;connect Markets Chief
7;capacitor archive;2019-11-15;Aruba;software scale interactive
8;Louisiana Specialist Home Loan Account;2019-11-15;scalable;Small
9;deliverables reinvent 24 hour;2019-11-15;magenta monitor 1080p;Unbranded Plastic Tuna Frozen
10;generating Highway Ergonomic;2019-11-15;Lempira;pixel withdrawal
